State,Population
AL,4921532
AK,731158
AZ,7421401
AR,3030522
CA,39368078
CO,5807719
CN,3557006
DE,986809
FL,21733312
GA,10710017
HI,1407006
ID,1826913
IL,12587530
IN,6754953
IA,3163561
KS,2913805
KY,4477251
LA,4645318
ME,1350141
MD,6055802
MA,6893574
MI,9966555
MN,5657342
MS,2966786
MO,6151548
MT,1080577
NE,1937552
NV,3138259
NH,1366275
NJ,8882371
NM,2106319
NY,19336776
NC,10600823
ND,765309
OH,11693217
OK,3980783
OR,4241507
PA,12783254
RI,1057125
SC,5218040
SD,892717
TN,6886834
TX,29360759
UT,3249879
VT,623347
VA,8590563
WA,7693612
WV,1784787
WI,5832655
WY,582328