State,State_Name,Population
AL,Alabama,4921532
AK,Alaska,731158
AZ,Arizona,7421401
AR,Arkansas,3030522
CA,California,39368078
CO,Colorado,5807719
CN,Connecticut,3557006
DE,Delaware,986809
FL,Florida,21733312
GA,Georgia,10710017
HI,Hawaii,1407006
ID,Idaho,1826913
IL,Illinois,12587530
IN,Indiana,6754953
IA,Iowa,3163561
KS,Kansas,2913805
KY,Kentucky,4477251
LA,Louisiana,4645318
ME,Maine,1350141
MD,Maryland,6055802
MA,Massachusetts,6893574
MI,Michigan,9966555
MN,Minnesota,5657342
MS,Mississippi,2966786
MO,Missouri,6151548
MT,Montana,1080577
NE,Nebraska,1937552
NV,Nevada,3138259
NH,New Hampshire,1366275
NJ,New Jersey,8882371
NM,New Mexico,2106319
NY,New York,19336776
NC,North Carolina,10600823
ND,North Dakota,765309
OH,Ohio,11693217
OK,Oklahoma,3980783
OR,Oregon,4241507
PA,Pennsylvania,12783254
RI,Rhode Island,1057125
SC,South Carolina,5218040
SD,South Dakota,892717
TN,Tennessee,6886834
TX,Texas,29360759
UT,Utah,3249879
VT,Vermont,623347
VA,Virginia,8590563
WA,Washington,7693612
WV,West Virginia,1784787
WI,Wisconsin,5832655
WY,Wyoming,582328